DiseaseName,Link,x
C,1,LPP
C,1,RC3H2
C,1,NKTR
C,1,CLK1
C,1,N4BP2L2
C,1,RBM39
C,1,SMCHD1
C,1,CSNK1A1
C,1,ZNF226
C,1,HNRNPD
C,1,LRRFIP1
C,1,DMXL2
C,1,MIR612///NEAT1
C,1,FRYL
C,1,UGP2
C,1,CALD1
C,1,SLC35A3
C,1,BRWD1
C,1,SREK1
C,1,ATM
C,1,THAP2
C,1,CREBRF
C,1,PIK3C3
C,1,PRKD3
C,1,CREBZF
C,1,ZNF638
C,1,RAB18
C,1,ZNF638-IT1///ZNF638
C,1,ZBTB20
C,1,RB1CC1
C,1,PCMTD1
C,1,ZNF117
C,1,FAM13A
C,1,ARID4B
C,1,USP34
C,1,RFC1
C,1,MIR4680///PDCD4
C,1,PNISR
C,1,JMJD1C
C,1,SCAF11
C,1,SC5D
C,1,ZNF451
C,1,RGPD6///RGPD8///RGPD3///RGPD4///RGPD5
C,1,SH3BGRL
C,1,DENND1B
C,1,LRIG2
C,1,PNPLA8
C,1,DNAJC27
C,1,ZDHHC21
C,1,YES1
C,1,ARHGAP5
C,1,BLZF1
C,1,TRPC1
C,1,EDRF1
C,1,TRIM33
C,1,SMAD4
C,1,FBXO3
C,1,SGTB
C,1,PCNX1
C,1,RAPGEF6
C,1,MLH3
C,1,RANBP2
C,1,ZFYVE16
C,1,ICE2
C,1,PGAP1
C,1,KIAA1109
C,1,PIK3C2A
C,1,AKAP9
C,1,BCLAF1
C,1,MBNL2
C,1,SESTD1
C,1,LEPROT///LEPR
C,1,ANKRD28
C,1,MBNL1
C,1,MALAT1
C,1,EPG5
C,1,DCUN1D1
C,1,ZC3H14
C,1,STRN
C,1,METTL14
C,1,ZNF700
C,1,LOC100506639///ZNF131
C,1,MORF4L2
C,1,NAV3
C,1,SFT2D3///WDR33
C,1,DDR2
C,1,CTNNB1
C,1,ADD3
C,1,ASPH
C,1,ANKRD44
C,1,MED13L
C,1,VPS13C
C,1,IFI44
C,1,GNAQ
C,1,IL6ST
C,1,SFPQ
C,1,UBE2D3
C,1,PPP4R3B
C,1,MED6
C,1,DR1
C,1,SCML1
C,1,TMCC1
C,1,DICER1
C,1,HNRNPA1
C,1,PPWD1
C,1,43166
C,1,RBM25
C,1,NUP58
C,1,RNF217
C,1,SLFN5
C,1,CLIP1
C,1,ATF2
C,1,PHACTR2
C,1,JMY
C,1,ZBTB1
C,1,CHD1
C,1,MAN2A1
C,1,CNOT7
C,1,FASTKD2
C,1,RBBP6
C,1,WHAMMP2///WHAMMP3
C,1,RUFY2
C,1,SBF2
C,1,GOLGA4
C,1,INO80D
C,1,KLHL24
C,1,LOC100506123///LOC100506076
C,1,KLF12
C,1,HAUS3
C,1,ZMYM2
C,1,MYL12A
C,1,STXBP3
C,1,SRSF3
C,1,TBRG1
C,1,ATAD2B
C,1,KRR1
C,1,LOC100131541
C,1,CUL3
C,1,DLEU2
C,1,FNBP1
C,1,DIAPH2
C,1,PPP1CB
C,1,RALGPS2
C,1,ERCC6L2
C,1,TRA2A
C,1,ATAD2
C,1,CCDC91
C,1,UTRN
C,1,STON1
C,1,PRKAA1
C,1,ZDBF2
C,1,EML4
C,1,SKIL
C,1,TCF7L2
C,1,LOC401261
C,1,TNRC6B
C,1,VIM
C,1,TRIP12
C,1,ADAM9
C,1,FBXO32
C,1,RTN4
C,1,ARL5B
C,1,ARID2
C,1,ARHGAP18
C,1,FCF1
C,1,NSUN6
C,1,PSMD6-AS2
C,1,MGEA5
C,1,SRSF4
C,1,PAPD4
C,1,NAV2
C,1,MKNK1
C,1,INPP4B
C,1,DKFZP586I1420
C,1,PDK4
C,1,GSAP
C,1,RORA
C,1,VCAN
C,1,NDUFA5
C,1,43165
C,1,SP100
C,1,ABCA1
C,1,HIST1H2BC
C,1,C2orf88
C,1,PWAR6
C,1,MEG3
C,1,TAF15
C,1,SVIL
C,1,ACVR2A
C,1,CD24
C,1,LPAR6
C,1,SCG5
C,1,WDFY2
C,1,TFDP2
C,1,MYBL1
C,1,ZBTB10
C,1,CPXM2
